UID,MaritalStatus,CreditScore,AnnualIncome,NetWorth,EmploymentStatus,RiskScore,AgeGroup,PhoneNumber,Email
LEAD_e8fa1014eeaa4c36a48e6d822c620818,Married,597,47624,35918,Employed,58.0,18-25,'+91-5397239785',e8fa10@example.com
LEAD_96130eb5cafc4628ad8b6b80be2f4aa3,Single,605,56650,250291,Employed,33.6,26-35,'+91-4955177847',96130e@example.com
LEAD_653323e0fe8c4bf6989dbd401ad22dab,Single,582,50042,7021,Employed,53.0,26-35,'+91-3058105548',653323@example.com
LEAD_44b94702807e491e8dca80962bf34b46,Widowed,644,142326,69623,Employed,39.2,36-50,'+91-8230605837',44b947@mail.com
LEAD_b7a28855cc9a43a6b5e5f4a2a653ee1d,Single,553,16021,3933,Employed,59.0,26-35,'+91-0548359105',b7a288@mail.com
LEAD_22c8e178e8c143d8aae4aba3fab4040c,Widowed,594,34698,55430,Employed,48.0,18-25,'+91-8936961966',22c8e1@example.com
LEAD_15ea7199200a41a7b3874e53bd87b0af,Single,630,106749,204416,Employed,32.8,51+,'+91-9348006764',15ea71@mail.com
LEAD_7e151869007a4e288f49e1fa006c5d43,Married,594,59138,5576,Employed,51.0,36-50,'+91-9802129560',7e1518@example.com
LEAD_beb627f9927546a6be84bb065fb7c731,Single,635,114216,2482,Employed,46.4,36-50,'+91-3010695044',beb627@mail.com
LEAD_f18ccc55df6b4fcaafc25c88ac1ef9c7,Married,503,63300,6903,Employed,53.0,18-25,'+91-1192563228',f18ccc@mail.com
LEAD_7d1dbd7e3c8349978c1b3ef95295b25b,Single,555,39676,81172,Employed,60.0,26-35,'+91-0194385392',7d1dbd@testmail.in
LEAD_4572fdb838074d59b463f5feec31e296,Divorced,594,59192,58413,Unemployed,58.0,36-50,'+91-3552681068',4572fd@example.com
LEAD_582c5c95ae9a4ae5b6adb9ffceb2cbfc,Single,462,15059,16754,Employed,51.0,26-35,'+91-1639626584',582c5c@mail.com
LEAD_39f9872c772249d6b96cb5523bc49437,Single,608,15305,9931,Self-Employed,51.0,36-50,'+91-1888469058',39f987@mail.com
LEAD_b11803d5f86646c2bd5ae75a96b54ccc,Married,622,35498,2705,Employed,48.0,26-35,'+91-4829541285',b11803@testmail.in
LEAD_408186e0b513478cb92ba7da0232642c,Divorced,576,60227,105395,Employed,36.8,36-50,'+91-5928211334',408186@testmail.in
LEAD_b7d09d1d1b3c417a8f58c3fa2e4aea65,Married,592,23861,76539,Self-Employed,55.0,26-35,'+91-8961374880',b7d09d@mail.com
LEAD_9cc8f60b329e4247ab5177d15e634770,Single,667,73843,3068,Unemployed,62.0,51+,'+91-0904569456',9cc8f6@testmail.in
LEAD_7858612cb69041bebac63672946ef394,Married,559,61099,46283,Employed,51.0,36-50,'+91-9037716039',785861@example.com
LEAD_2ce77055acc64686987cc01f18cd9fca,Single,535,15000,290269,Employed,53.0,26-35,'+91-7678782993',2ce770@mail.com
LEAD_a91834ca558145179c7673787f214ba8,Single,520,34738,238326,Employed,55.0,36-50,'+91-0373303705',a91834@mail.com
LEAD_c8dbe242c8e7475fbf88dff6a8c9d85e,Married,571,85889,13345,Employed,49.0,18-25,'+91-6079874807',c8dbe2@mail.com
LEAD_de6d6b6705ed4ef4af3e56022c1954f4,Married,552,78701,140566,Employed,36.0,36-50,'+91-8663281729',de6d6b@example.com
LEAD_1eceb074206345ff96ebc5b1005a7bf8,Married,604,24914,41853,Employed,45.6,18-25,'+91-9585796306',1eceb0@testmail.in
LEAD_db409c5865ca49ce9233328f721d5a60,Married,508,57231,140547,Unemployed,50.0,18-25,'+91-8176083826',db409c@mail.com
LEAD_675a16d999e24a7eb9b5910670b3bdb0,Single,655,163303,97422,Self-Employed,37.6,36-50,'+91-8146648615',675a16@example.com
LEAD_2615d07fd136427a9c7e4d282fab732b,Divorced,595,38453,42871,Unemployed,54.0,36-50,'+91-3078754589',2615d0@mail.com
LEAD_e008280540a04fc683a758d12b21ccf8,Single,582,99920,4209,Self-Employed,44.8,36-50,'+91-9386288893',e00828@mail.com
LEAD_6e1edad31ad541d698dbd9940bd69424,Married,591,57860,437436,Employed,47.0,36-50,'+91-0900557134',6e1eda@testmail.in
LEAD_819fc62cdf3943bd8add105fd3048774,Divorced,590,30890,14676,Employed,53.0,36-50,'+91-5395974434',819fc6@example.com
LEAD_f35a3bc452bc4de3a502ea9776d94573,Single,500,15561,11052,Employed,55.0,18-25,'+91-9741043382',f35a3b@example.com
LEAD_d12fc39144dc4e3a9de49dbc038809af,Single,530,105957,95758,Employed,54.0,26-35,'+91-4145767502',d12fc3@example.com
LEAD_91fdfce54eda4b299b6d27bf19b49f4a,Divorced,545,82887,4958,Employed,50.0,26-35,'+91-1997843607',91fdfc@example.com
LEAD_e40c6d22b65b4e7dae011be7c42cdcbd,Divorced,631,53555,2753,Employed,47.0,51+,'+91-3377708577',e40c6d@example.com
LEAD_4b2a9812cb234879ab123276603b1060,Widowed,627,105639,142935,Employed,46.0,36-50,'+91-6942628054',4b2a98@mail.com
LEAD_2d2ccaf483b4485eb63a43e7b91a7c27,Single,519,58342,9558,Employed,50.0,18-25,'+91-7794328494',2d2cca@testmail.in
LEAD_cd4cd23483ca48959d31ad384239678f,Divorced,653,121939,185710,Employed,32.8,36-50,'+91-9113269393',cd4cd2@example.com
LEAD_db983cfcfd0e48ff8f1e64f91fa54a0e,Married,526,16054,39270,Employed,53.0,26-35,'+91-6990640141',db983c@testmail.in
LEAD_0c8e2f3da38449b985b31d5d0d3d44c0,Married,592,36057,1500,Employed,51.0,26-35,'+91-0052477283',0c8e2f@testmail.in
LEAD_8c63f066da1a4fb1849d64b06e9dfca8,Widowed,631,124086,10479,Employed,39.2,36-50,'+91-2808318790',8c63f0@mail.com
LEAD_7a998bf5117e49e2904e27633802c8c1,Married,586,272693,88895,Employed,38.4,51+,'+91-8418888361',7a998b@testmail.in
LEAD_06918508deef402c9b2729d4df31b259,Divorced,615,48757,3120,Employed,52.0,51+,'+91-8076504775',069185@testmail.in
LEAD_7d86b4bff48242939d760f2ad8eb203a,Married,498,31683,154938,Employed,48.0,26-35,'+91-9966234174',7d86b4@testmail.in
LEAD_2ef2672bb3b4405e84ab0ed8638bf930,Single,499,69003,13502,Self-Employed,42.4,36-50,'+91-0267619419',2ef267@example.com
LEAD_9dbf7ef6beaa493fbbcc43e04cdcb2aa,Married,616,72408,5786,Employed,63.0,36-50,'+91-6451800075',9dbf7e@example.com
LEAD_ac5ede1c2efa4dfb9b3cba8629cab9e0,Single,653,105087,142052,Employed,44.0,51+,'+91-6416336719',ac5ede@testmail.in
LEAD_9c690f5d9dbc4c50b5090823a617c829,Married,607,15000,223211,Employed,48.0,26-35,'+91-8822095752',9c690f@mail.com
LEAD_ca530b12688848728959ea5040982329,Divorced,600,38513,16183,Self-Employed,52.0,36-50,'+91-2577243216',ca530b@testmail.in
LEAD_19c63ab44a15470580f558d25fe58f85,Married,527,77555,29447,Employed,39.2,26-35,'+91-2632949685',19c63a@mail.com
LEAD_3cddc8316be5471f8a2b32bb4d6f3e82,Single,576,15000,1077,Employed,57.0,18-25,'+91-9716404153',3cddc8@testmail.in
LEAD_56b851a77f934f1ab0099d8376d630de,Married,611,24973,14823,Employed,55.0,36-50,'+91-6846968268',56b851@example.com
LEAD_927f81a93cf643b48ed6292b14fae10e,Divorced,574,18248,192648,Employed,48.0,51+,'+91-1947191481',927f81@example.com
LEAD_559a77ca43e94fe99237fe629a234dcc,Married,615,67367,99087,Self-Employed,42.4,36-50,'+91-4176301431',559a77@example.com
LEAD_6a2aafd30454459ba18a629bb00fe8b2,Married,647,32418,313319,Employed,50.0,51+,'+91-5310261086',6a2aaf@testmail.in
LEAD_6fdf28304b7b4cfcb2e8e6f4d4c259ec,Married,649,26879,71090,Employed,50.0,36-50,'+91-7625417608',6fdf28@mail.com
LEAD_128c2355f65b40b99e46c23642b0c694,Single,620,54128,87804,Employed,36.8,26-35,'+91-0263120593',128c23@mail.com
LEAD_642708af66444545b5e4a343a361f098,Married,535,19924,14660,Employed,56.0,36-50,'+91-9948156711',642708@example.com
LEAD_7dcfd00f6c2e40829bc09f78dc5b24bc,Married,672,90788,5911,Employed,34.4,51+,'+91-4178116020',7dcfd0@testmail.in
LEAD_cae4e3a62bd34913b0d638ff9780e93a,Single,619,190445,115773,Employed,33.6,36-50,'+91-7143280473',cae4e3@testmail.in
LEAD_025d7dd28a6e4eedb48560346b675b6a,Married,612,35372,119179,Employed,50.0,51+,'+91-8849725106',025d7d@testmail.in
LEAD_0360b04bfe114fc4adfb97175ecf6f29,Married,570,15000,82198,Employed,58.0,18-25,'+91-2075472722',0360b0@example.com
LEAD_c9cbcf6059554e55a1d7fcb6dfa0fca7,Married,617,40829,34774,Employed,49.0,36-50,'+91-0429545812',c9cbcf@testmail.in
LEAD_2d9bd97b396b41c3a2dae1f053195ba7,Single,523,58655,22423,Employed,51.0,36-50,'+91-9865331343',2d9bd9@mail.com
LEAD_9c5e673be566403cb5fe9437c4010694,Single,531,68801,429421,Employed,53.0,36-50,'+91-8061909471',9c5e67@example.com
LEAD_978567a739854140864634f937e3de80,Single,619,92731,7629,Employed,50.0,36-50,'+91-5447689002',978567@testmail.in
LEAD_2c9c1a3d1ff2452091f119904f922189,Married,545,40050,7672,Self-Employed,64.0,18-25,'+91-8747852385',2c9c1a@testmail.in
LEAD_bc3192b365fb4ebdaa6da55222653413,Married,618,40784,172083,Employed,45.0,36-50,'+91-4888793334',bc3192@mail.com
LEAD_304ad0de3b9c4bb88d512efea6b749ee,Married,588,15000,474038,Employed,48.0,36-50,'+91-9080793385',304ad0@mail.com
LEAD_a8256047d858452fbd7cc9eb2415cec4,Single,615,86699,8130,Employed,36.0,51+,'+91-9341357489',a82560@testmail.in
LEAD_a8c3893b1fc441e2bf9f5b721282f294,Married,540,17676,48674,Employed,55.0,26-35,'+91-5762648997',a8c389@mail.com
LEAD_8c5b602d98d94c4da199d8a8c06c0e19,Married,517,42752,146382,Employed,53.0,26-35,'+91-3221198811',8c5b60@example.com
LEAD_89af70b71a514089a5c00e9f2282b37c,Married,570,29096,36237,Employed,53.0,26-35,'+91-0852855741',89af70@example.com
LEAD_d895c8361f4c4944b62e80a7a8a2defd,Single,663,60992,38852,Employed,44.0,36-50,'+91-8988158675',d895c8@testmail.in
LEAD_5c8c40d94c6e4aa6a7e66ef686506485,Married,524,100032,45588,Employed,49.6,36-50,'+91-9036107996',5c8c40@mail.com
LEAD_5474f18c21564f8e82eec597b2d7b9bb,Single,620,35882,8266,Employed,47.0,26-35,'+91-1663955207',5474f1@mail.com
LEAD_b1657c5ab7bc48ad8cc8ca86f1f70543,Married,623,32781,294254,Employed,41.0,36-50,'+91-7245792789',b1657c@testmail.in
LEAD_2a6e89e496ab41569dba907e297bbc08,Married,585,51707,2253,Employed,52.0,36-50,'+91-2095965097',2a6e89@testmail.in
LEAD_5e8e03dda24a4ff2adb8a7a50b996e2c,Single,596,31251,3276,Unemployed,61.0,51+,'+91-3881937087',5e8e03@testmail.in
LEAD_ee2b21058da746ca8d0fd91a8d24562c,Married,524,22359,84640,Employed,57.0,26-35,'+91-8293623861',ee2b21@testmail.in
LEAD_752bdcf8be964d84bbd3d454b737a9b5,Married,610,152650,37909,Employed,38.4,36-50,'+91-5193454716',752bdc@mail.com
LEAD_a345a7488a914e77a29530179e83852d,Married,562,15120,3825,Self-Employed,58.0,26-35,'+91-2093690307',a345a7@testmail.in
LEAD_e9b5225b26604e6ca2c51f9578b88a48,Single,570,59830,435808,Self-Employed,45.6,18-25,'+91-4612379978',e9b522@mail.com
LEAD_1c6218b2f67f438cac7f48550799b247,Single,645,55308,93747,Employed,36.8,36-50,'+91-8211463493',1c6218@mail.com
LEAD_880bbce8589c411c8206b270eefd7837,Married,601,30948,78660,Employed,49.0,36-50,'+91-3169960524',880bbc@example.com
LEAD_afabc27b025a4320be68d321bc47103c,Married,592,56940,64448,Employed,50.0,36-50,'+91-6577925573',afabc2@testmail.in
LEAD_d562191a901d4700a9897a6fd7c3975d,Married,539,44000,301790,Employed,46.0,36-50,'+91-8364392728',d56219@mail.com
LEAD_8de45a3434064905bd21af3600c2fd71,Married,509,81554,69780,Employed,49.0,18-25,'+91-8225861808',8de45a@testmail.in
LEAD_7e6213a045d84c30864d046a29eaabb9,Single,612,26567,9625,Employed,48.0,26-35,'+91-6113039166',7e6213@example.com
LEAD_62e264e3c53e43dd9c73b55023e4da02,Divorced,596,33569,33106,Employed,52.0,26-35,'+91-7734709260',62e264@example.com
LEAD_9a109bea095c4c5fbae6560d3a335a09,Married,608,94238,41531,Employed,44.0,26-35,'+91-8970564725',9a109b@example.com
LEAD_639d96da3610490db728bad19a116f7b,Divorced,587,45145,93155,Employed,40.0,36-50,'+91-9912520614',639d96@mail.com
LEAD_f9c4feeca12c4ef8a1fdd19bd6cf3661,Divorced,597,70881,1188,Employed,50.0,36-50,'+91-5844665346',f9c4fe@testmail.in
LEAD_eb950aef7fac471899a7d5d8c4dcbace,Widowed,656,105240,33814,Employed,55.0,51+,'+91-8014816238',eb950a@mail.com
LEAD_6c19666cafd542328304eea46ccddafe,Single,517,63709,68037,Unemployed,57.0,36-50,'+91-9889566375',6c1966@mail.com
LEAD_97d9ceb7f64a4e1d987437e6dc0d2002,Married,487,31713,6605,Self-Employed,64.0,36-50,'+91-5733374246',97d9ce@testmail.in
LEAD_0081688d25054a2bbf866a2b012dd4c7,Single,536,29900,2585,Employed,54.0,36-50,'+91-3737272557',008168@example.com
LEAD_634519998a5244f8a154cc73c2150063,Single,608,87673,66069,Employed,43.2,18-25,'+91-1166550926',634519@testmail.in
LEAD_521dfff767ce447588ee6b7a239ffa39,Married,565,55454,5939,Self-Employed,61.0,36-50,'+91-7144325797',521dff@mail.com
LEAD_9a7e3eaf700e4905ab707da3cc6a1fba,Married,558,40722,121086,Employed,47.0,36-50,'+91-0813838038',9a7e3e@mail.com
LEAD_de1871790fd24afaab321b117a65bff5,Married,680,76571,72093,Employed,46.0,51+,'+91-1269988037',de1871@mail.com
LEAD_89e2480e082742cbb7afb5fc8cf0389c,Married,525,22901,89532,Employed,53.0,36-50,'+91-3738445634',89e248@testmail.in
LEAD_918518286ec043949693bb6252327778,Married,609,49421,9540,Employed,51.0,36-50,'+91-6125490431',918518@mail.com
LEAD_44c8fc41ae5b4f84910577c3febd704f,Divorced,611,43507,6480,Employed,60.0,36-50,'+91-4319645660',44c8fc@example.com
LEAD_e23d538d893a4408a62115cbb9954034,Married,572,41402,4623,Employed,50.0,18-25,'+91-2628118503',e23d53@mail.com
LEAD_6a01b185b25c4635a7fbc7abc388927f,Married,626,37405,4530,Employed,56.0,51+,'+91-6726745124',6a01b1@mail.com
LEAD_bfd1a6f513c14c5981a1386d93ae3cf0,Single,564,48399,75230,Employed,51.0,36-50,'+91-9206114434',bfd1a6@testmail.in
LEAD_5a534b7690554d6383ce14abd75850ff,Divorced,574,44775,8511,Employed,51.0,36-50,'+91-5845253313',5a534b@mail.com
LEAD_47f0e35c1b6e476e994f011a79f694da,Widowed,580,125711,8014,Employed,40.8,26-35,'+91-6988886791',47f0e3@example.com
LEAD_7f4e1219f7b2431b9de45017611d708a,Married,634,15131,58703,Employed,59.0,51+,'+91-7017474540',7f4e12@example.com
LEAD_52db817d273341c29b20bdd430dc0aaf,Married,603,73576,4647,Employed,41.6,18-25,'+91-8308380710',52db81@example.com
LEAD_e6c568cf0b5f41b9a282ef640dd81826,Married,602,50345,47177,Employed,52.0,36-50,'+91-3150141874',e6c568@example.com
LEAD_479aa17e600343798839d2c62fdbfb3c,Single,669,56816,621711,Employed,28.8,51+,'+91-5819621455',479aa1@testmail.in
LEAD_fd8859a3c208445c9523aa3c27527b1e,Single,621,34588,78693,Employed,52.0,26-35,'+91-5532400213',fd8859@example.com
LEAD_4779fc50a8e84180a4c5012863a79076,Married,565,55383,7531,Employed,40.0,26-35,'+91-5520916668',4779fc@testmail.in
LEAD_e70ef3bbc27b4dc982c2232e772b7607,Married,551,65180,3079,Employed,40.0,36-50,'+91-3548861359',e70ef3@mail.com
LEAD_5107e9d9edea427091f9883f58001c7d,Married,523,15000,21596,Employed,56.0,26-35,'+91-6328773451',5107e9@mail.com
LEAD_16a6e6bc55ab4fc2b302a0ccfbc4ff08,Married,560,149736,279531,Employed,37.6,18-25,'+91-1258500573',16a6e6@mail.com
LEAD_8b14927dc1f24dc6afa3a948ce433f6d,Divorced,585,42717,37949,Employed,53.0,36-50,'+91-5216331146',8b1492@testmail.in
LEAD_b3ec6e3b2c5149cc97664d35fd8cd156,Married,590,66417,87273,Employed,40.0,26-35,'+91-8008539177',b3ec6e@example.com
LEAD_f97e5459a9c24216953e1df098c405c1,Divorced,602,22121,56022,Employed,47.0,36-50,'+91-4476100038',f97e54@testmail.in
LEAD_965aba7337de43f8a76a2258bb17fbf3,Married,620,37558,2660,Employed,49.0,26-35,'+91-8080271375',965aba@example.com
LEAD_ef313f3ca5554339b2b8dd820fd7a921,Married,621,134691,20839,Employed,40.0,51+,'+91-3913088726',ef313f@testmail.in
LEAD_12c2cf21592b44feb2a24c1843ddeb84,Married,539,33101,211332,Employed,46.0,26-35,'+91-3309480398',12c2cf@mail.com
LEAD_4c4eaf491d984c45a55f79a3d8f71d2f,Divorced,439,44364,195449,Employed,40.8,36-50,'+91-4632212179',4c4eaf@mail.com
LEAD_10164ec51d844e6fbd7bc14bda938271,Married,499,38596,4304,Employed,60.0,36-50,'+91-5339504062',10164e@testmail.in
LEAD_25d8669d752a462ba788d3208749d3a0,Single,439,139954,45696,Unemployed,56.0,18-25,'+91-1728551034',25d866@testmail.in
LEAD_5fede4ba5ac74142adf6a8fe214ddf9c,Married,521,53444,11955,Unemployed,55.0,36-50,'+91-7254638348',5fede4@testmail.in
LEAD_74fcb48b41784c6caadf80b85010925c,Married,643,113523,112469,Employed,35.2,51+,'+91-9858779246',74fcb4@example.com
LEAD_35e0688c29b8408cbbace09a583f6590,Married,581,31270,47138,Employed,58.0,18-25,'+91-2052857389',35e068@testmail.in
LEAD_75a0880af2da49a7b0da8047306753fc,Divorced,520,46717,3094,Employed,57.0,36-50,'+91-8870882354',75a088@mail.com
LEAD_cf29e9df9ba74f289a37cff46043dd6b,Single,564,56613,179210,Employed,56.0,36-50,'+91-9658729965',cf29e9@example.com
LEAD_1459067fb1ef4f4a81a1b3e499dbe80e,Married,612,86882,4755,Employed,47.0,36-50,'+91-3260317541',145906@example.com
LEAD_79eacd8d32c84505a498c5f20c46154c,Single,598,69876,12570,Employed,51.0,18-25,'+91-6762713916',79eacd@example.com
LEAD_ef54eacdec8349339ce1dc496624dce9,Divorced,513,32582,21485,Self-Employed,55.0,18-25,'+91-1479326424',ef54ea@mail.com
LEAD_a340c38260604f19a3b77a1733aeaafe,Divorced,612,101562,26110,Employed,54.0,36-50,'+91-4167908652',a340c3@mail.com
LEAD_d778d2752e6f4e71a3753dc9fedf322d,Married,548,24611,169077,Unemployed,54.0,36-50,'+91-3570729290',d778d2@example.com
LEAD_8fde8d51ce154362ab4b9cce803d4f29,Married,594,22390,8633,Employed,55.0,36-50,'+91-3337495923',8fde8d@mail.com
LEAD_5ab5d1fe7c9844fe9712c6bc9238d84a,Married,605,47430,25415,Employed,50.0,36-50,'+91-2690863730',5ab5d1@mail.com
LEAD_67b21a1c717e444ebad97a1c3a9b236a,Single,500,57105,1632,Employed,53.0,26-35,'+91-0092250743',67b21a@example.com
LEAD_30649b1d44054d499d1d61e7502aa518,Married,536,28751,13656,Employed,59.0,36-50,'+91-8057826966',30649b@example.com
LEAD_bd7bcc19c6e5463dbb582263524f6685,Married,547,43567,119722,Employed,48.0,36-50,'+91-5862831208',bd7bcc@mail.com
LEAD_84970e3f7325470389021d70a492611c,Married,575,20113,52656,Employed,60.0,26-35,'+91-3732029240',84970e@example.com
LEAD_ea35d2dd4fcd44d0b7fa8ad6d1dd84e9,Married,682,52633,6415,Unemployed,59.0,51+,'+91-8496612175',ea35d2@testmail.in
LEAD_8b6d661e358d4ef88f5d0f3dbed33889,Single,557,93617,25397,Employed,43.2,36-50,'+91-0459312063',8b6d66@testmail.in
LEAD_3c2d71aab9fe4f918b1a43c88ab68db6,Married,574,34276,32248,Employed,51.0,18-25,'+91-9335406668',3c2d71@mail.com
LEAD_3058c9169775440e9d746f864e2f8b71,Married,587,25819,49734,Self-Employed,61.0,36-50,'+91-6527517204',3058c9@mail.com
LEAD_6dc57f527d074c089be9c45cdd978019,Married,546,72220,103795,Employed,36.0,26-35,'+91-9774288514',6dc57f@example.com
LEAD_ba97a1ffea764af9ad1fea1f9c0b471d,Single,594,30032,67597,Employed,61.0,36-50,'+91-1030328352',ba97a1@example.com
LEAD_6fcf11c433534ec7b7ed75844bb44cdd,Single,545,259639,2180,Employed,40.8,51+,'+91-2400270221',6fcf11@mail.com
LEAD_2f6083597d824a4b8961b39647f76598,Married,628,58238,43114,Self-Employed,64.0,26-35,'+91-5456980947',2f6083@testmail.in
LEAD_2fd7a49a3fe3474bb777e6ea0ccd7202,Married,618,91953,16980,Employed,45.6,51+,'+91-9282172431',2fd7a4@testmail.in
LEAD_bef5c63d3a854f729a3024ba7e0cb056,Divorced,609,22237,40922,Employed,54.0,36-50,'+91-0946786537',bef5c6@testmail.in
LEAD_c35e37bb6dbd492f9c68a95bc31f2e34,Married,653,74085,7553,Employed,52.0,36-50,'+91-0247498302',c35e37@testmail.in
LEAD_a0eb5f683bf9454e9d777f665ac69501,Divorced,633,33370,10973,Employed,54.0,51+,'+91-8668693572',a0eb5f@example.com
LEAD_da4ee291e1fb41f0bbfdac21f1fe744a,Married,553,36562,2603208,Employed,42.4,36-50,'+91-3674792592',da4ee2@mail.com
LEAD_3e67df3f4d4e40ee8033cb5ed3a1a1ab,Married,583,25658,57777,Employed,51.0,26-35,'+91-8095115588',3e67df@mail.com
LEAD_83b014d91dbb4684b107c9a5b977492c,Married,590,75095,41471,Employed,66.0,26-35,'+91-6995179147',83b014@mail.com
LEAD_21dca46faa79440eb90978eb3de6dc79,Married,591,50657,107416,Employed,46.0,26-35,'+91-7262018577',21dca4@mail.com
LEAD_05d20e7c34ed4f958daecb68e7b38365,Married,582,48707,69075,Employed,50.0,36-50,'+91-6640048075',05d20e@example.com
LEAD_34dae1d2ac32450e9c734c4ab123e9e1,Single,524,99138,1156,Employed,40.8,36-50,'+91-9093893021',34dae1@example.com
LEAD_bf691ce5682b41b2bf2b761d94f46f76,Married,581,48280,84027,Employed,51.0,36-50,'+91-8372782877',bf691c@testmail.in
LEAD_69a72bc6fd314987bb77ec924cff6ae8,Married,568,88064,135833,Employed,36.8,36-50,'+91-0333084429',69a72b@mail.com
LEAD_d1375743a13a4ed9bce523a9cecb8040,Married,625,177855,95498,Employed,38.4,36-50,'+91-7528974651',d13757@testmail.in
LEAD_47939a91c8b9454d928f258c79a719e5,Widowed,614,55440,21118,Employed,50.0,51+,'+91-7853602869',47939a@testmail.in
LEAD_b54269f0658f428babccaec1ad108aff,Married,558,44377,52424,Employed,40.0,36-50,'+91-2425951189',b54269@example.com
LEAD_afc4b77812814149aed04325cdd4c902,Married,511,115677,53022,Employed,54.0,51+,'+91-8001664154',afc4b7@testmail.in
LEAD_46e5458759ab4062aedbcf80fc1be2aa,Single,654,163133,61994,Employed,32.8,36-50,'+91-8848298514',46e545@testmail.in
LEAD_bf748e79d65b4fd186c4fd91b34901ef,Married,517,51989,44452,Employed,58.0,26-35,'+91-2140814856',bf748e@testmail.in
LEAD_06136b43eef54966aa8521020160bb4f,Single,612,28941,44144,Employed,57.0,26-35,'+91-5237378067',06136b@mail.com
LEAD_3baeda368c0c4b1ea79e49096d0314bf,Divorced,652,117455,279360,Unemployed,44.8,36-50,'+91-0712372026',3baeda@mail.com
LEAD_981da0bff0594a5eb2bf2e479f6732aa,Married,565,68157,3047,Employed,40.0,36-50,'+91-6486103389',981da0@mail.com
LEAD_b3011580172e4796b90fdc723478f217,Married,579,117456,11421,Employed,39.2,36-50,'+91-4452467644',b30115@testmail.in
LEAD_0ff97aa6afc74127958be64082812800,Married,579,84230,14999,Employed,56.0,36-50,'+91-8485959845',0ff97a@mail.com
LEAD_1b9290b1c80d45379fc80c09f5da96bf,Married,515,47910,57154,Employed,48.0,36-50,'+91-2019659394',1b9290@example.com
LEAD_6a85db8e071b41468a354550953c5805,Married,557,37709,4672,Employed,65.0,26-35,'+91-7546880570',6a85db@example.com
LEAD_fca456700d8c4687acf348427d4a71b2,Single,540,73625,138741,Employed,58.0,18-25,'+91-8847300985',fca456@mail.com
LEAD_42beb20986854b30a1989bc303e9b7d4,Married,592,19757,2757,Employed,53.0,26-35,'+91-0353439935',42beb2@mail.com
LEAD_0b1d5c1acb8146afaa3883ad8790349f,Married,498,111020,30012,Employed,44.0,36-50,'+91-2870145734',0b1d5c@testmail.in
LEAD_b63cffc0714d449cb00857d8396efbea,Single,553,54202,4212,Unemployed,65.0,36-50,'+91-5604305698',b63cff@example.com
LEAD_680fc22c33b9492c8690ae2aaac79d15,Single,620,36184,40775,Employed,53.0,18-25,'+91-3859521942',680fc2@mail.com
LEAD_1ee025a9061c46cb95a7f57d47424b12,Married,603,56320,314536,Employed,32.0,36-50,'+91-3454120670',1ee025@mail.com
LEAD_bc528c57003544d5aecad94b6a4045f3,Single,487,111257,1850,Employed,40.0,36-50,'+91-6905983107',bc528c@testmail.in
LEAD_a2c7d7b8b1e2415499c33178678e348b,Married,606,55172,74216,Employed,55.0,26-35,'+91-2372546243',a2c7d7@mail.com
LEAD_9d82f11ac9344e678e67ed062d71fc01,Married,583,29020,11602,Employed,55.0,36-50,'+91-2254575933',9d82f1@example.com
